"Transcript/RepeatID (cmd=analyzeRepeats-pl /home/cbenner/data/software/gencode/hg38/gencode-best-rna hg38 -fpkm -count exons -strand - -minLength 250 -d HMDM-RNAseq-mock-24h-4G2neg-p1 HMDM-RNAseq-mock-24h-4G2neg-p3 HMDM-RNAseq-mock-24h-4G2neg-p4 HMDM-RNAseq-mock-24h-4G2neg-p5 HMDM-RNAseq-mock-24h-4G2neg-p6 HMDM-RNAseq-mock-24h-4G2neg-pooled HMDM-RNAseq-FSSADE-12h-4G2neg-p4 HMDM-RNAseq-FSSADE-12h-4G2neg-p5 HMDM-RNAseq-FSSADE-12h-4G2neg-p6 HMDM-RNAseq-FSSADE-12h-4G2neg-pooled HMDM-RNAseq-FSSADE-12h-4G2pos-p4 HMDM-RNAseq-FSSADE-12h-4G2pos-p5 HMDM-RNAseq-FSSADE-12h-4G2pos-p6 HMDM-RNAseq-FSSADE-12h-4G2pos-pooled HMDM-RNAseq-FSSADE-18h-4G2neg-p4 HMDM-RNAseq-FSSADE-18h-4G2neg-p5 HMDM-RNAseq-FSSADE-18h-4G2neg-p6 HMDM-RNAseq-FSSADE-18h-4G2neg-pooled HMDM-RNAseq-FSSADE-18h-4G2pos-p4 HMDM-RNAseq-FSSADE-18h-4G2pos-p5 HMDM-RNAseq-FSSADE-18h-4G2pos-p6 HMDM-RNAseq-FSSADE-18h-4G2pos-pooled HMDM-RNAseq-FSSADE-24h-4G2neg-p1 HMDM-RNAseq-FSSADE-24h-4G2neg-p3 HMDM-RNAseq-FSSADE-24h-4G2neg-p4 HMDM-RNAseq-FSSADE-24h-4G2neg-p5 HMDM-RNAseq-FSSADE-24h-4G2neg-p6 HMDM-RNAseq-FSSADE-24h-4G2neg-pooled HMDM-RNAseq-FSSADE-24h-4G2pos-p1 HMDM-RNAseq-FSSADE-24h-4G2pos-p3 HMDM-RNAseq-FSSADE-24h-4G2pos-p4 HMDM-RNAseq-FSSADE-24h-4G2pos-p5 HMDM-RNAseq-FSSADE-24h-4G2pos-p6 HMDM-RNAseq-FSSADE-24h-4G2pos-pooled)","chr","start","end","strand","Length","gene_name","Annotation/Divergence","gene_id","gene_type"
"ENST00000486302.1","chr3",65687301,65688468,"+",1167,"ILF2P1","0","ENSG00000244226.1","processed_pseudogene"
"ENST00000618799.1","chr20",34476205,34476787,"+",582,"RP3-468O1.6","0","ENSG00000277558.1","sense_intronic"
"ENST00000446295.1","chrX",47512602,47513483,"-",881,"NUS1P1","0","ENSG00000235636.1","processed_pseudogene"
"ENST00000361927.8","chr1",183935837,184037729,"-",5154,"COLGALT2","COLGALT2|C1orf17|GLT25D2|-|1q25.3|protein-coding","ENSG00000198756.10","protein_coding"
"ENST00000338502.8","chr19",38390200,38399587,"+",4769,"SPRED3","SPRED3|Eve-3|spred-3|-|19q13.2|protein-coding","ENSG00000188766.12","protein_coding"
"ENST00000210633.3","chr10",100972835,100985615,"+",4067,"SEMA4G","SEMA4G|-|-|10q24.31|protein-coding","ENSG00000095539.15","protein_coding"
"ENST00000265348.7","chr6",43037617,43053699,"-",5203,"CUL7","CUL7|3M1|CUL-7|KIAA0076|dJ20C7.5|-|6p21.1|protein-coding","ENSG00000044090.8","protein_coding"
"ENST00000457540.1","chr1",629640,630683,"+",1043,"MTND2P28","0","ENSG00000225630.1","unprocessed_pseudogene"
"ENST00000415494.1","chrX",80709928,80710705,"+",777,"RP11-325E14.5","0","ENSG00000225715.1","processed_pseudogene"
"ENST00000399262.6","chr10",63167221,63465881,"-",8615,"JMJD1C","JMJD1C|KDM3C|TRIP-8|TRIP8|-|10q21.3|protein-coding","ENSG00000171988.18","protein_coding"
"ENST00000262456.6","chr9",100099275,100300788,"+",2933,"INVS","0","ENSG00000119509.12","protein_coding"
"ENST00000624979.1","chr18",48755693,48756318,"+",625,"RP11-46D1.2","0","ENSG00000279250.1","TEC"
"ENST00000267812.3","chr15",43804492,43824802,"-",2138,"MFAP1","MFAP1|AMP|-|15q15.3|protein-coding","ENSG00000140259.6","protein_coding"
"ENST00000338963.6","chr15",55826922,55917131,"-",6976,"NEDD4","NEDD4|NEDD4-1|RPF1|-|15q21.3|protein-coding","ENSG00000069869.15","protein_coding"
"ENST00000506026.1","chr5",33502072,33503135,"+",1063,"CTD-2233C11.3","0","ENSG00000249360.1","processed_pseudogene"
"ENST00000609130.1","chr7",5425770,5426401,"+",631,"RP11-1275H24.2","0","ENSG00000272953.1","lincRNA"
"ENST00000529260.1","chr8",103568603,103568978,"-",375,"RP11-5A11.2","0","ENSG00000254644.1","processed_pseudogene"
"ENST00000552900.1","chr12",92530460,92531324,"+",864,"RP11-693J15.3","0","ENSG00000258262.1","processed_pseudogene"
"ENST00000548926.1","chr12",76757191,76757914,"+",723,"RP11-734E19.1","0","ENSG00000258090.1","processed_pseudogene"
"ENST00000504300.1","chr5",80482712,80488063,"-",832,"CTD-2015H6.3","0","ENSG00000249042.5","antisense"
"ENST00000418595.1","chr6",112616703,112617880,"-",1177,"RP1-159M24.1","0","ENSG00000225580.2","processed_pseudogene"
"ENST00000279147.8","chr11",69665563,69675347,"-",2469,"ORAOV1","ORAOV1|TAOS1|-|11q13.3|protein-coding","ENSG00000149716.12","protein_coding"
"ENST00000611513.1","chr12",89351015,89353271,"+",2256,"RP11-823E8.3","0","ENSG00000274021.1","lincRNA"
"ENST00000566372.1","chr3",160753428,160755142,"-",1714,"RP11-16N11.2","0","ENSG00000260572.1","antisense"
"ENST00000602662.1","chr1",19596979,19658056,"+",1616,"MINOS1-NBL1","MINOS1-NBL1|C1orf151-NBL1|-|1p36.13|protein-coding","ENSG00000270136.5","protein_coding"
"ENST00000331343.11","chr21",45263928,45287898,"-",4810,"POFUT2","POFUT2|C21orf80|FUT13|-|21q22.3|protein-coding","ENSG00000186866.16","protein_coding"
"ENST00000440790.6","chr6",28161781,28169594,"+",1619,"ZNF192P1","ZNF192P1|ZNF389|ZNF389P|dJ265C24.4|-|6p22.1|pseudo","ENSG00000226314.7","transcribed_unprocessed_pseudogene"
"ENST00000606274.1","chr6",87151159,87155285,"-",4126,"RP11-393I2.4","0","ENSG00000272008.1","antisense"
"ENST00000609632.1","chr22",20320739,20321203,"+",464,"XXbac-B444P24.14","0","ENSG00000273139.1","lincRNA"
"ENST00000360833.5","chr16",67199111,67204029,"+",2443,"ELMO3","0","ENSG00000102890.14","protein_coding"
"ENST00000418437.1","chr13",21260032,21261580,"+",1548,"ESRRAP2","0","ENSG00000235438.7","transcribed_processed_pseudogene"
"ENST00000457898.1","chr1",16460948,16468481,"+",3242,"LINC01772","LINC01772|-|-|1p36.13|ncRNA","ENSG00000226029.1","lincRNA"
"ENST00000607297.1","chr3",57597789,57600916,"+",434,"ARF4-AS1","ARF4-AS1|-|-|3p14.3|ncRNA","ENSG00000272146.5","antisense"
"ENST00000241416.11","chr2",147844517,147930824,"+",5707,"ACVR2A","ACVR2A|ACTRII|ACVR2|-|2q22.3-q23.1|protein-coding","ENSG00000121989.14","protein_coding"
"ENST00000271732.7","chr1",150646225,150697024,"-",2990,"GOLPH3L","GOLPH3L|GPP34R|-|1q21.3|protein-coding","ENSG00000143457.10","protein_coding"
"ENST00000507770.1","chr3",141525133,141526121,"+",609,"RASA2-IT1","0","ENSG00000250170.1","sense_intronic"
"ENST00000505416.5","chr5",145760317,145835285,"-",725,"PRELID2","PRELID2|-|-|5q32|protein-coding","ENSG00000186314.11","protein_coding"
"ENST00000580341.2","chr1",150566562,150566860,"-",298,"RN7SL473P","0","ENSG00000277452.1","misc_RNA"
"ENST00000440456.5","chr22",31292499,31338021,"+",551,"PIK3IP1-AS1","0","ENSG00000228839.5","antisense"
"ENST00000588234.5","chr19",13774168,13778461,"+",868,"C19orf53","C19orf53|HSPC023|LYDG10|-|19p13.13|protein-coding","ENSG00000104979.8","protein_coding"
"ENST00000625082.1","chr12",123152324,123153377,"-",1053,"RP11-546D6.3","0","ENSG00000280120.1","TEC"
"ENST00000354366.7","chr14",90267856,90332137,"-",14181,"NRDE2","NRDE2|C14orf102|-|14q32.11|protein-coding","ENSG00000119720.17","protein_coding"
"ENST00000343060.4","chr7",27092993,27095974,"-",2514,"HOXA1","HOXA1|BSAS|HOX1|HOX1F|-|7p15.2|protein-coding","ENSG00000105991.7","protein_coding"
"ENST00000428776.1","chr13",99372173,99372686,"+",513,"HMGB3P4","0","ENSG00000228808.1","processed_pseudogene"
"ENST00000435941.1","chrX",123116107,123117781,"-",1674,"MRRFP1","0","ENSG00000224236.3","processed_pseudogene"
"ENST00000453565.1","chr2",42826322,42827617,"-",977,"AC098824.6","0","ENSG00000232202.1","processed_pseudogene"
"ENST00000261584.8","chr16",23603170,23641310,"-",3978,"PALB2","PALB2|FANCN|PNCA3|-|16p12.2|protein-coding","ENSG00000083093.9","protein_coding"
"ENST00000490136.1","chr3",160584945,160585787,"+",842,"RPL6P8","0","ENSG00000242285.1","processed_pseudogene"
"ENST00000466490.6","chr3",133784033,133821492,"+",2812,"SRPRB","SRPRB|APMCF1|-|3q22.1|protein-coding","ENSG00000144867.11","protein_coding"
"ENST00000532992.5","chr11",109355085,109583907,"-",531,"RP11-708B6.2","0","ENSG00000255028.5","antisense"
"ENST00000421246.1","chr4",22727375,22727950,"-",575,"CDC42P6","0","ENSG00000237350.1","processed_pseudogene"
"ENST00000587267.1","chr17",75897060,75900148,"+",1414,"RP11-552F3.10","0","ENSG00000267342.1","antisense"
"ENST00000357412.2","chrX",47483571,47484823,"+",1252,"LINC01560","0","ENSG00000196741.5","lincRNA"
"ENST00000265605.6","chr6",134917390,134950122,"-",2545,"ALDH8A1","ALDH8A1|ALDH12|DJ352A20.2|-|6q23.3|protein-coding","ENSG00000118514.13","protein_coding"
"ENST00000550536.5","chr12",69739390,69823204,"+",9625,"RAB3IP","RAB3IP|RABIN3|RABIN8|-|12q15|protein-coding","ENSG00000127328.21","protein_coding"
"ENST00000222584.7","chr7",21428034,21514822,"+",6115,"SP4","SP4|HF1B|SPR-1|-|7p15.3|protein-coding","ENSG00000105866.13","protein_coding"
"ENST00000607122.1","chr14",101952416,101953063,"+",647,"RP11-1017G21.6","0","ENSG00000272444.1","lincRNA"
"ENST00000613958.1","chr8",22106874,22109419,"-",1751,"NUDT18","0","ENSG00000275074.1","protein_coding"
"ENST00000435914.1","chrX",131803312,131803741,"-",429,"PNKDP1","0","ENSG00000228089.1","processed_pseudogene"
"ENST00000426577.1","chrX",133670971,133671386,"+",415,"RP3-417G15.1","0","ENSG00000227008.2","processed_pseudogene"
"ENST00000255078.7","chr11",68903842,68940599,"+",3932,"IGHMBP2","IGHMBP2|CATF1|CMT2S|HCSA|HMN6|SMARD1|SMUBP2|ZFAND7|-|11q13.3|protein-coding","ENSG00000132740.8","protein_coding"
"ENST00000510053.2","chr5",57317989,57320020,"-",2031,"CTD-2516K3.3","0","ENSG00000248586.2","processed_pseudogene"
"ENST00000257910.7","chr12",57744881,57748232,"+",1838,"TSPAN31","TSPAN31|SAS|-|12q14.1|protein-coding","ENSG00000135452.9","protein_coding"
"ENST00000410966.1","chr8",61631680,61632012,"-",332,"RN7SKP97","0","ENSG00000222898.1","misc_RNA"
"ENST00000455954.2","chr9",37434177,37434586,"+",409,"CHCHD4P3","0","ENSG00000236156.2","processed_pseudogene"
"ENST00000252818.4","chr19",18279760,18281622,"-",1862,"JUND","JUND|AP-1|-|19p13.11|protein-coding","ENSG00000130522.5","protein_coding"
"ENST00000426575.1","chr1",175904762,175920513,"-",652,"RP11-318C24.2","0","ENSG00000227740.1","lincRNA"
"ENST00000437639.1","chr5",37209364,37212381,"+",3017,"OFD1P17","0","ENSG00000228212.1","processed_pseudogene"
"ENST00000567680.1","chr15",65771176,65772139,"-",963,"RP11-16E23.4","0","ENSG00000259924.1","processed_pseudogene"
"ENST00000598188.5","chr19",17267350,17279337,"+",1453,"BABAM1","BABAM1|C19orf62|HSPC142|MERIT40|NBA1|-|19p13.11|protein-coding","ENSG00000105393.15","protein_coding"
"ENST00000355173.6","chr14",100537149,100569794,"-",2661,"BEGAIN","BEGAIN|-|-|14q32.2|protein-coding","ENSG00000183092.16","protein_coding"
"ENST00000533655.5","chr11",82901727,82934659,"+",3522,"DDIAS","DDIAS|C11orf82|noxin|-|11q14.1|protein-coding","ENSG00000165490.12","protein_coding"
"ENST00000215754.7","chr22",23894004,23895226,"+",934,"MIF","MIF|GIF|GLIF|MMIF|-|22q11.23|protein-coding","ENSG00000240972.1","protein_coding"
"ENST00000483714.3","chr12",93831076,93831372,"+",296,"RN7SL630P","0","ENSG00000264978.2","misc_RNA"
"ENST00000379687.7","chrX",19912860,19970298,"-",6507,"CXorf23","BCLAF3|CXorf23|-|Xp22.12|protein-coding","ENSG00000173681.16","protein_coding"
"ENST00000622269.1","chr15",90266317,90314499,"+",511,"RP11-697E2.12","0","ENSG00000275674.1","protein_coding"
"ENST00000449802.5","chr2",203014879,203219874,"+",10829,"NBEAL1","NBEAL1|A530083I02Rik|ALS2CR16|ALS2CR17|-|2q33.2|protein-coding","ENSG00000144426.18","protein_coding"
"ENST00000424456.3","chr9",100175178,100176054,"+",876,"NANOGP5","0","ENSG00000231697.3","transcribed_processed_pseudogene"
"ENST00000576210.1","chr17",4301372,4302698,"+",1326,"MFSD1P1","0","ENSG00000261868.1","processed_pseudogene"
"ENST00000264249.7","chr2",100391860,100417656,"-",2829,"CHST10","CHST10|HNK-1ST|HNK1ST|-|2q11.2|protein-coding","ENSG00000115526.10","protein_coding"
"ENST00000254850.11","chr17",7101322,7114823,"-",1379,"ASGR2","ASGR2|ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2|-|17p13.1|protein-coding","ENSG00000161944.16","protein_coding"
"ENST00000413533.1","chr7",112735166,112738693,"-",2024,"MIPEPP1","0","ENSG00000225358.1","processed_pseudogene"
"ENST00000302937.8","chr19",54190268,54194536,"+",2285,"TSEN34","TSEN34|LENG5|PCH2C|SEN34|SEN34L|-|19q13.42|protein-coding","ENSG00000170892.10","protein_coding"
"ENST00000457263.1","chr1",19608114,19608568,"+",454,"RP5-1056L3.3","0","ENSG00000226396.1","processed_pseudogene"
"ENST00000481909.1","chr10",122931508,122954403,"-",2471,"C10orf88","C10orf88|-|-|10q26.13|protein-coding","ENSG00000119965.12","protein_coding"
"ENST00000320574.9","chr12",132623762,132687359,"-",7743,"POLE","POLE|CRCS12|FILS|POLE1|-|12q24.33|protein-coding","ENSG00000177084.16","protein_coding"
"ENST00000447430.1","chr7",130853720,130928649,"+",1607,"LINC00513","0","ENSG00000233559.1","lincRNA"
"ENST00000407837.2","chr6",131819803,131820091,"-",288,"RP3-323K23.3","0","ENSG00000219532.2","processed_pseudogene"
"ENST00000610245.1","chr22",49902228,49904576,"+",2348,"CITF22-1A6.3","0","ENSG00000273192.1","lincRNA"
"ENST00000502521.1","chr3",131325092,131381475,"-",1971,"RP11-933H2.4","LOC339874|-|-|3q22.1|ncRNA","ENSG00000250608.1","processed_transcript"
"ENST00000425356.1","chr9",33019682,33020165,"-",483,"LAGE3P1","0","ENSG00000225693.1","processed_pseudogene"
"ENST00000357065.8","chr10",43385617,43407819,"-",2610,"HNRNPF","HNRNPF|HNRPF|OK/SW-cl.23|mcs94-1|-|10q11.21|protein-coding","ENSG00000169813.16","protein_coding"
"ENST00000430166.5","chr3",14920347,14948424,"-",1173,"FGD5-AS1","0","ENSG00000225733.5","antisense"
"ENST00000263270.10","chr19",46838167,46850992,"-",926,"AP2S1","AP2S1|AP17|CLAPS2|FBH3|FBHOk|HHC3|-|19q13.32|protein-coding","ENSG00000042753.11","protein_coding"
"ENST00000297994.3","chr9",37753817,37778972,"+",2264,"TRMT10B","TRMT10B|RG9MTD3|bA3J10.9|-|9p13.2|protein-coding","ENSG00000165275.9","protein_coding"
"ENST00000238561.9","chr14",77800083,77933954,"+",2213,"ADCK1","ADCK1|-|-|14q24.3|protein-coding","ENSG00000063761.15","protein_coding"
"ENST00000497678.2","chr1",52368677,52369244,"+",567,"PLA2G12AP1","0","ENSG00000224680.4","processed_pseudogene"
"ENST00000415862.6","chr20",50081124,50115954,"-",2382,"UBE2V1","UBE2V1|CIR1|CROC-1|CROC1|UBE2V|UEV-1|UEV1|UEV1A|-|20q13.13|protein-coding","ENSG00000244687.11","protein_coding"
"ENST00000216799.8","chr14",24138965,24141588,"-",824,"EMC9","EMC9|C14orf122|CGI-112|FAM158A|-|14q12|protein-coding","ENSG00000100908.13","protein_coding"
"ENST00000440367.6","chr3",42905731,42917641,"+",4090,"ZNF662","ZNF662|-|-|3p22.1|protein-coding","ENSG00000182983.14","protein_coding"
"ENST00000369152.5","chr1",149899597,149900792,"+",856,"BOLA1","BOLA1|CGI-143|-|1q21.2|protein-coding","ENSG00000178096.8","protein_coding"
"ENST00000437689.3","chr10",87001636,87009905,"+",1733,"RP11-96C23.11","0","ENSG00000261011.1","transcribed_unprocessed_pseudogene"
"ENST00000382564.6","chr3",180983709,180989773,"-",1442,"DNAJC19","DNAJC19|PAM18|TIM14|TIMM14|-|3q26.33|protein-coding","ENSG00000205981.6","protein_coding"
"ENST00000215739.12","chr22",20982013,20999038,"+",4531,"LZTR1","LZTR1|BTBD29|LZTR-1|NS10|SWNTS2|-|22q11.21|22q11.1-q11.2|protein-coding","ENSG00000099949.18","protein_coding"
"ENST00000371149.7","chr20",58459101,58514938,"-",3419,"APCDD1L","APCDD1L|-|-|20q13.32|protein-coding","ENSG00000198768.10","protein_coding"
"ENST00000614588.1","chr7",6637350,6642401,"+",932,"ZNF316","0","ENSG00000205903.6","protein_coding"
"ENST00000464073.1","chr14",76634775,76635661,"-",886,"RPSAP3","0","ENSG00000242952.1","transcribed_processed_pseudogene"
"ENST00000369373.9","chr1",145289900,145405567,"-",18485,"NBPF20","0","ENSG00000162825.16","protein_coding"
"ENST00000440229.1","chr2",170077224,170078294,"-",769,"AC092641.2","0","ENSG00000227176.1","processed_pseudogene"
"ENST00000624203.1","chr11",87121058,87121596,"+",538,"RP11-648O15.2","0","ENSG00000279836.1","TEC"
"ENST00000372318.7","chr1",43991608,43996528,"+",1446,"CCDC24","CCDC24|-|-|1p34.1|protein-coding","ENSG00000159214.12","protein_coding"
"ENST00000603606.1","chr14",63594031,63595291,"-",1260,"CTD-2302E22.5","0","ENSG00000270878.1","processed_pseudogene"
"ENST00000624270.1","chr17",80147250,80148596,"+",1346,"RP11-334C17.3","0","ENSG00000279259.1","TEC"
"ENST00000348943.7","chr19",8444767,8489114,"+",2535,"HNRNPM","HNRNPM|CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M|-|19p13.2|protein-coding","ENSG00000099783.11","protein_coding"
"ENST00000557342.5","chr14",77708071,77717598,"+",401,"SLIRP","SLIRP|C14orf156|DC50|PD04872|-|14q24.3|protein-coding","ENSG00000119705.9","protein_coding"
"ENST00000438281.1","chrX",25029545,25030235,"+",690,"RP1-258N20.3","0","ENSG00000214111.3","processed_pseudogene"
"ENST00000602575.1","chr8",11104691,11106704,"-",2013,"AF131215.9","0","ENSG00000269918.1","sense_intronic"
"ENST00000553105.1","chr12",29280418,29317848,"-",2367,"RP11-996F15.2","LOC100506606|-|-|12p11.22|ncRNA","ENSG00000257176.2","antisense"
"ENST00000474858.1","chr7",66505155,66506223,"-",1068,"GS1-124K5.9","0","ENSG00000179342.4","processed_pseudogene"
"ENST00000272638.13","chr2",135741619,135785055,"+",3981,"UBXN4","UBXN4|UBXD2|UBXDC1|erasin|-|2q21.3|protein-coding","ENSG00000144224.16","protein_coding"
"ENST00000496953.1","chr3",60690225,60690719,"-",494,"RP11-641C17.2","0","ENSG00000232407.3","processed_pseudogene"
"ENST00000409644.5","chr17",1724960,1738592,"+",6714,"WDR81","WDR81|CAMRQ2|PPP1R166|SORF-2|-|17p13.3|protein-coding","ENSG00000167716.18","protein_coding"
"ENST00000435295.1","chr6",155253139,155256724,"-",3085,"RP11-477D19.2","0","ENSG00000235381.1","antisense"
"ENST00000584643.1","chr17",15530773,15531089,"-",316,"RP11-385D13.3","0","ENSG00000266538.1","lincRNA"
"ENST00000574212.1","chr16",15726674,15732993,"+",833,"AF001548.5","0","ENSG00000263335.1","antisense"
"ENST00000292539.8","chr8",144490030,144502121,"+",2701,"PPP1R16A","PPP1R16A|MYPT3|-|8q24.3|protein-coding","ENSG00000160972.9","protein_coding"
"ENST00000374708.8","chr6",33162681,33192499,"-",6082,"COL11A2","COL11A2|DFNA13|DFNB53|FBCG2|HKE5|OSMEDA|OSMEDB|PARP|STL3|-|6p21.32|protein-coding","ENSG00000204248.10","protein_coding"
"ENST00000360806.9","chr22",21473059,21488358,"-",2049,"PI4KAP2","0","ENSG00000183506.17","transcribed_unprocessed_pseudogene"
"ENST00000492974.2","chr6",153282287,153282733,"-",446,"RP11-475C16.1","0","ENSG00000218426.5","processed_pseudogene"
"ENST00000372090.5","chr1",45339670,45343975,"+",2374,"TOE1","TOE1|PCH7|hCaf1z|-|1p34.1|protein-coding","ENSG00000132773.11","protein_coding"
"ENST00000478867.1","chr3",113885298,113886031,"+",733,"RP11-435F17.3","0","ENSG00000241889.1","processed_pseudogene"
"ENST00000373165.7","chrX",85244032,85273360,"+",4107,"ZNF711","ZNF711|CMPX1|MRX97|ZNF4|ZNF5|ZNF6|Zfp711|dJ75N13.1|-|Xq21.1|protein-coding","ENSG00000147180.16","protein_coding"
"ENST00000460661.1","chr6",7986537,7988192,"+",1655,"PIP5K1P1","0","ENSG00000219294.6","processed_pseudogene"
"ENST00000412769.1","chr1",48435967,48437223,"+",1256,"RP11-329A14.1","0","ENSG00000235105.1","processed_pseudogene"
"ENST00000398824.6","chr2",31173056,31233858,"-",3744,"CAPN14","0","ENSG00000214711.9","protein_coding"
"ENST00000611626.1","chr16",55425574,55426130,"-",556,"RP11-212I21.5","0","ENSG00000274508.1","lincRNA"
"ENST00000506618.3","chr7",18026774,18027863,"-",1089,"PRPS1L1","PRPS1L1|PRPS1|PRPS3|PRPSL|PRS-III|-|7p21.1|protein-coding","ENSG00000229937.6","protein_coding"
"ENST00000561573.1","chr15",90249556,90272208,"+",3813,"RP11-697E2.6","0","ENSG00000261147.1","protein_coding"
"ENST00000433633.1","chr22",42149886,42155001,"-",1473,"CYP2D8P","0","ENSG00000226450.2","unprocessed_pseudogene"
"ENST00000383790.7","chr3",15411017,15427518,"-",1324,"METTL6","METTL6|-|-|3p25.1|protein-coding","ENSG00000206562.11","protein_coding"
"ENST00000421852.5","chr3",185489601,185499057,"-",2818,"TMEM41A","TMEM41A|2900010K02Rik|-|3q27.2|protein-coding","ENSG00000163900.10","protein_coding"
"ENST00000402937.1","chr22",42059802,42070842,"-",1850,"NAGA","NAGA|D22S674|GALB|-|22q13.2|protein-coding","ENSG00000198951.11","protein_coding"
"ENST00000594299.1","chr19",38184376,38186265,"+",1889,"CTB-102L5.7","0","ENSG00000269653.1","sense_intronic"
"ENST00000263634.7","chr2",53669981,53786942,"-",2195,"ASB3","ASB3|ASB-3|-|2p16.2|protein-coding","ENSG00000115239.21","protein_coding"
"ENST00000046640.7","chr17",3636468,3661538,"+",2843,"CTNS","CTNS|CTNS-LSB|PQLC4|-|17p13.2|protein-coding","ENSG00000040531.14","protein_coding"
"ENST00000267938.8","chr15",75843285,75901078,"+",3105,"UBE2Q2","UBE2Q2|-|-|15q24.2|protein-coding","ENSG00000140367.11","protein_coding"
"ENST00000272567.4","chr2",113657908,113658675,"+",767,"RP11-395L14.17","0","ENSG00000144158.4","processed_pseudogene"
"ENST00000317683.3","chr19",45710629,45730904,"-",2998,"FBXO46","FBXO46|20D7-FC4|FBXO34L|Fbx46|-|19q13.32|protein-coding","ENSG00000177051.5","protein_coding"
"ENST00000454207.2","chr6",143857318,143938471,"+",1477,"RP3-468K18.7","0","ENSG00000280148.1","protein_coding"
"ENST00000378197.4","chr10",15097382,15104257,"+",1452,"RPP38","RPP38|-|-|10p13|protein-coding","ENSG00000152464.14","protein_coding"
"ENST00000626177.2","chr1",45493866,45500079,"-",2218,"CCDC163","CCDC163|C1orf231|CCDC163P|-|1p34.1|pseudo","ENSG00000280670.2","protein_coding"
"ENST00000398621.3","chr10",79892148,79893175,"-",1027,"PGGT1BP2","0","ENSG00000214584.3","processed_pseudogene"
"ENST00000264515.10","chr1",205086142,205122015,"-",4377,"RBBP5","RBBP5|RBQ3|SWD1|-|1q32.1|protein-coding","ENSG00000117222.13","protein_coding"
"ENST00000639399.1","chr1",16642767,16643109,"-",163,"RP5-1182A14.8","0","ENSG00000283773.1","transcribed_unprocessed_pseudogene"
"ENST00000377044.8","chr9",71683366,71768884,"-",6476,"TMEM2","TMEM2|-|-|9q21.13|protein-coding","ENSG00000135048.13","protein_coding"
"ENST00000271452.7","chr1",163321954,163355764,"+",1942,"NUF2","NUF2|CDCA1|CT106|NUF2R|-|1q23.3|protein-coding","ENSG00000143228.12","protein_coding"
"ENST00000520367.5","chr17",80415167,80438081,"+",2663,"ENDOV","ENDOV|-|-|17q25.3|protein-coding","ENSG00000173818.16","protein_coding"
"ENST00000438179.1","chr10",17577362,17578212,"+",850,"PRPF38AP2","0","ENSG00000236582.1","processed_pseudogene"
"ENST00000435400.1","chr13",49488970,49489364,"+",216,"SNRPGP14","0","ENSG00000236577.1","processed_pseudogene"
"ENST00000452591.1","chr10",133345754,133350726,"-",181,"RP11-122K13.7","0","ENSG00000226699.1","antisense"
"ENST00000556370.1","chr14",74474007,74474864,"-",586,"RP3-449M8.6","0","ENSG00000259005.1","lincRNA"
"ENST00000437157.3","chr1",9182007,9183750,"-",406,"MIR34AHG","0","ENSG00000228526.6","lincRNA"
"ENST00000492148.5","chr20",41162962,41163982,"+",590,"PLCG1","0","ENSG00000124181.14","protein_coding"
"ENST00000301030.8","chr16",89267630,89490561,"-",9276,"ANKRD11","ANKRD11|ANCO-1|ANCO1|LZ16|T13|-|16q24.3|protein-coding","ENSG00000167522.14","protein_coding"
"ENST00000392350.7","chr2",189770323,189784364,"-",2002,"ORMDL1","ORMDL1|-|-|2q32.2|protein-coding","ENSG00000128699.13","protein_coding"
"ENST00000624084.2","chr2",20529467,20529976,"-",509,"RP11-130L8.3","0","ENSG00000279307.2","processed_pseudogene"
"ENST00000576336.1","chr16",31118078,31118747,"+",540,"RP11-196G11.4","0","ENSG00000262766.1","sense_intronic"
"ENST00000623873.1","chr13",20092632,20094144,"+",1512,"RP11-264J4.8","0","ENSG00000279951.1","TEC"
"ENST00000465829.5","chr7",102483144,102517781,"-",2890,"RASA4B","RASA4B|-|-|7q22.1|protein-coding","ENSG00000170667.14","protein_coding"
"ENST00000013125.8","chr14",50418525,50532609,"-",4291,"MAP4K5","MAP4K5|GCKR|KHS|KHS1|MAPKKKK5|-|14q22.1|protein-coding","ENSG00000012983.11","protein_coding"
"ENST00000422953.1","chr9",5084999,5086112,"-",1113,"PDSS1P1","0","ENSG00000182347.10","processed_pseudogene"
"ENST00000531824.1","chr11",128880325,128880668,"-",343,"RP11-740D6.3","0","ENSG00000255369.1","processed_pseudogene"
"ENST00000564984.1","chr16",88718615,88720459,"+",1844,"RP5-1142A6.9","0","ENSG00000260121.1","antisense"
"ENST00000605810.1","chr3",70125070,70126609,"-",1539,"RP11-963H1.1","0","ENSG00000271034.1","processed_pseudogene"
"ENST00000215980.9","chr22",41938721,41947164,"-",955,"CENPM","CENPM|C22orf18|CENP-M|PANE1|-|22q13.2|protein-coding","ENSG00000100162.14","protein_coding"
"ENST00000624840.1","chr18",76385642,76389406,"-",3764,"RP11-504I13.2","0","ENSG00000280205.1","TEC"
"ENST00000616335.1","chr15",55343141,55343575,"-",434,"RP11-139H15.7","0","ENSG00000274765.1","sense_intronic"
